rcasiteid,rcapid,x,y
F0603F06,F0603F064,-105.89,35.73
F0603F06,F0603F065,-105.89,35.73
F0603F07,F0603F071,-105.64,40.4
F0603F07,F0603F072,-105.64,40.4
F0603F07,F0603F073,-105.64,40.4
F0603F07,F0603F074,-105.64,40.4
F0603F07,F0603F075,-105.64,40.4
F0604F01,F0604F011,-107.5,37.53
F0604F01,F0604F012,-107.5,37.53
F0604F01,F0604F013,-107.5,37.53
F0604F01,F0604F014,-107.5,37.53
F0604F01,F0604F015,-107.5,37.53
F0605F01,F0605F011,-107.17,38.03
F0605F01,F0605F012,-107.17,38.03
F0605F01,F0605F013,-107.17,38.03
F0605F01,F0605F014,-107.17,38.03
F0605F01,F0605F015,-107.17,38.03
F0605F02,F0605F021,-105.27,36.86
F0605F02,F0605F022,-105.27,36.86
F0605F02,F0605F023,-105.27,36.86
F0605F02,F0605F024,-105.27,36.86
F0605F02,F0605F025,-105.27,36.86
F0605F03,F0605F031,-106.25,37.34
F0605F03,F0605F032,-106.25,37.34
F0605F03,F0605F033,-106.25,37.34
F0605F03,F0605F034,-106.25,37.34
F0605F03,F0605F035,-106.25,37.34
F0605F04,F0605F041,-108.08,37.74
F0605F04,F0605F042,-108.08,37.74
F0605F04,F0605F043,-108.08,37.74
F0605F04,F0605F044,-108.08,37.74
F0605F04,F0605F045,-108.08,37.74
F0605F05,F0605F051,-106.06,39.41
F0605F05,F0605F052,-106.06,39.41
F0605F05,F0605F053,-106.06,39.41
F0605F05,F0605F054,-106.06,39.41
F0605F05,F0605F055,-106.06,39.41
F0605F06,F0605F061,-106.31,39.04
F0605F06,F0605F062,-106.31,39.04
F0605F06,F0605F063,-106.31,39.04
F0605F06,F0605F064,-106.31,39.04
F0605F06,F0605F065,-106.31,39.04
F0605F07,F0605F071,-108.05,38.02
F0605F07,F0605F072,-108.05,38.02
F0605F07,F0605F073,-108.05,38.02
F0605F07,F0605F074,-108.05,38.02
F0605F07,F0605F075,-108.05,38.02
F0605F08,F0605F081,-107.93,39.63
F0605F08,F0605F082,-107.93,39.63
F0605F08,F0605F083,-107.93,39.63
F0605F08,F0605F084,-107.93,39.63
F0605F08,F0605F085,-107.93,39.63
F0605F10,F0605F101,-105.99,39.91
F0605F10,F0605F102,-105.99,39.91
F0605F10,F0605F103,-105.99,39.91
F0605F10,F0605F104,-105.99,39.91
F0605F10,F0605F105,-105.99,39.91
F0605F12,F0605F121,-107.9,38.34
F0605F12,F0605F122,-107.9,38.34
F0605F12,F0605F123,-107.9,38.34
F0605F12,F0605F124,-107.9,38.34
F0605F12,F0605F125,-107.9,38.34
F0605R01,F0605R011,-106.29,39.28
F0605R01,F0605R012,-106.29,39.28
F0605R01,F0605R013,-106.29,39.28
F0605R01,F0605R014,-106.29,39.28
F0605R01,F0605R015,-106.29,39.28
F0605R02,F0605R021,-106.69,38.19
F0605R02,F0605R022,-106.69,38.19
F0605R02,F0605R023,-106.69,38.19
F0605R02,F0605R024,-106.69,38.19
F0605R02,F0605R025,-106.69,38.19
F0605R03,F0605R031,-107.07,38.34
F0605R03,F0605R032,-107.07,38.34
F0605R03,F0605R033,-107.07,38.34
F0605R03,F0605R034,-107.07,38.34
F0605R03,F0605R035,-107.07,38.34
F0606F01,F0606F011,-108.91,37.41
F0606F01,F0606F012,-108.91,37.41
F0606F01,F0606F013,-108.91,37.41
F0606F01,F0606F014,-108.91,37.41
F0606F02,F0606F021,-108.49,38.31
F0606F02,F0606F022,-108.49,38.31
F0606F02,F0606F023,-108.49,38.31
F0606F02,F0606F024,-108.49,38.31
F0606F02,F0606F025,-108.49,38.31
F0606F03,F0606F031,-108.49,38.91
F0606F03,F0606F032,-108.49,38.91
F0606F03,F0606F034,-108.49,38.91
F0606F03,F0606F035,-108.49,38.91
F0606F04,F0606F041,-108.45,38.23
F0606F04,F0606F042,-108.45,38.23
F0606F04,F0606F043,-108.45,38.23
F0606F04,F0606F044,-108.45,38.23
F0606F04,F0606F045,-108.45,38.23
F0606F05,F0606F051,-108.9,37.45
F0606F05,F0606F052,-108.9,37.45
F0606F05,F0606F053,-108.9,37.45
F0606F05,F0606F054,-108.9,37.45
F0606F05,F0606F055,-108.9,37.45
F0606F06,F0606F061,-107.74,38.85
F0606F06,F0606F062,-107.74,38.85
F0606F06,F0606F063,-107.74,38.85
F0606F06,F0606F064,-107.74,38.85
F0606F06,F0606F065,-107.74,38.85
F0606R01,F0606R011,-109.06,39.35
F0606R01,F0606R012,-109.06,39.35
F0606R01,F0606R013,-109.06,39.35
F0606R01,F0606R014,-109.06,39.35
F0606R01,F0606R015,-109.06,39.35
F0606R03,F0606R031,-108.39,39.07
F0606R03,F0606R032,-108.39,39.07
F0606R03,F0606R033,-108.39,39.07
F0606R03,F0606R034,-108.39,39.07
F0606R03,F0606R035,-108.39,39.07
F0607F01,F0607F011,-108.43,37.48
F0607F01,F0607F012,-108.43,37.48
F0607F01,F0607F013,-108.43,37.48
F0607F01,F0607F014,-108.43,37.48
F0607F01,F0607F015,-108.43,37.48
F0607F02,F0607F021,-109.03,38.3
F0607F02,F0607F022,-109.03,38.3
F0607F02,F0607F023,-109.03,38.3
F0607F02,F0607F024,-109.03,38.3
F0607F02,F0607F025,-109.03,38.3
F0607R01,F0607R011,-108.81,39.29
